No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
8 (IJC),605056.58,121.01,9.71,7.66,78.85,-138708.94,-21.99,-174891.6,-19.16,3.46,0.4,4.12,4.57,8.13,103407.04,0.63,7.34,0.31,1.07,0.0378,25,24202.26,5.5,20.16,9,36,774323.96,86036,21.79,39.78,16,64,-169267.38,-10579.21,-3.67,9.13,70
3 (VJC),587691.02,117.54,14.24,7.5,52.67,-146398.53,-13.73,-199188.47,-16.27,2.95,0.46,3.24,3.23,7.12,167623.14,0.38,5.09,0.41,0.72,0.0229,16,36730.69,8.14,25,5,31.25,850647.41,170129.48,31.3,60.8,11,68.75,-262956.39,-23905.13,-2.38,8.73,20
8 (PVC),564895.93,112.98,5.83,7.29,125,-155075.38,-22.99,-155075.38,-16.38,3.64,0.45,7.63,8.33,6.81,111098.97,0.68,8,0.24,1.13,0.041,20,28244.8,11.71,26.95,11,55,642003.1,58363.92,25.24,39.27,9,45,-77107.17,-8567.46,-4.84,11.89,70
6 (HBC),549120.97,109.82,6.06,7.14,117.85,-121460.51,-10.83,-176437.49,-14.4,3.11,0.5,8.19,5.24,12.24,144732.96,0.51,7.43,0.23,1.31,0.0305,10,54912.1,14.36,28,3,30,678497.89,226165.96,57.56,69.67,7,70,-129376.92,-18482.42,-4.15,10.14,50
9 (HVG),533322.17,106.66,5.18,6.99,135.03,-178332.49,-39.55,-178332.49,-23.83,2.99,0.29,5.67,4.02,9.04,162085.82,0.1,13.7,0.12,0.99,0.0058,13,41024.78,12.2,18.77,4,30.77,709955.89,177488.97,57.14,33.25,9,69.23,-176633.73,-19625.97,-7.78,12.33,80
8 (DXG),508205.8,101.64,11.29,6.74,59.73,-305635.29,-25.18,-424165.95,-34,1.2,0.2,1.76,2.48,2.48,140212.49,0.41,7.54,0.18,1.05,0.0246,16,31762.86,9.65,29.56,8,50,851462.59,106432.82,27.15,49.38,8,50,-343256.79,-42907.1,-7.84,9.75,70
5 (CDO),503698.03,100.74,11.41,6.7,58.7,-320079.6,-24.19,-320079.6,-24.18,1.57,0.28,2.43, N/A, N/A,120251,0.57,14.42,0.09, N/A,0.0341,1,503698.03,101,307,1,100,503698.03,503698.03,101,307,0,0,0,  N/A,  N/A,  N/A,40
4 (PNJ),491788.72,98.36,7.08,6.58,92.93,-104389.92,-10.19,-134023.78,-12.95,3.67,0.51,7.17,10.93,5.47,120079.2,0.4,4.04,0.29,1.54,0.024,6,81964.79,17.48,41.5,4,66.67,541311.09,135327.77,27.52,59.25,2,33.33,-49522.36,-24761.18,-2.6,6,30
6 (HSG),469352.96,93.87,6.12,6.35,103.83,-83261.11,-17.95,-93373.47,-10.67,5.03,0.6,9.74,28.19,16.92,86734.31,0.72,5.48,0.17,1.48,0.0433,8,58669.12,21.43,37.25,5,62.5,486613.76,97322.75,35.83,55.8,3,37.5,-17260.8,-5753.6,-2.57,6.33,50
5 (KBC),431560.07,86.31,13.71,5.96,43.49,-205980.91,-20.54,-447380.28,-32.92,0.96,0.18,1.32,1.66,2.95,157811.92,0.31,22.67,0.02,0.7,0.0186,25,17262.4,3.73,18.08,9,36,1088664.1,120962.68,19.76,34.67,16,64,-657104.03,-41069,-5.29,8.75,40
7 (HVN),430588.87,86.12,5.11,5.95,116.53,-243460.56,-22.29,-301470.8,-27.56,1.43,0.22,4.23,16.68,5.56,112439.98,0.39,9.09,0.06,1.73,0.0232,4,107647.22,20.05,35.25,3,75,458052.62,152684.21,27.82,43,1,25,-27463.75,-27463.75,-3.24,12,60
4 (HPG),426798.2,85.36,6.49,5.91,91.04,-106910.28,-10.56,-106910.28,-10.56,3.99,0.56,8.62,146.71,29.34,67910.2,0.36,2.96,0.17,2.35,0.0218,6,71133.03,11.61,30,5,83.33,429727.28,85945.46,14.04,34.8,1,16.67,-2929.08,-2929.08,-0.51,6,30
6 (VCG),414905.15,82.98,7.46,5.78,77.49,-292325.53,-28.82,-346945.6,-34.2,1.2,0.17,2.27,3.15,2.52,67270.87,0.4,17.13,0.02,1.44,0.0241,9,46100.57,9.78,26.56,5,55.56,608000.78,121600.16,22.49,37.6,4,44.44,-193095.63,-48273.91,-6.11,12.75,50
5 (VCB),402283.6,80.46,7.49,5.65,75.4,-94866.81,-11.87,-94866.81,-12.65,4.24,0.45,5.96,7.72,2.57,81344.66,0.46,5.15,0.05,1.58,0.0275,8,50285.45,8.69,26.13,6,75,462175.54,77029.26,12.87,31.5,2,25,-59891.94,-29945.97,-3.82,10,40
10 (QCG),397399.03,79.48,4.17,5.59,134.23,-217383.08,-20.14,-493065.77,-35.59,0.81,0.16,3.77,2.09,3.14,145834.65,0.39,16.51,0.01,1.14,0.0233,10,39739.9,30.84,16.2,4,40,760684.79,190171.2,89.38,31,6,60,-363285.76,-60547.63,-8.18,6.33,90
6 (KDC),396864.18,79.37,11.73,5.59,47.63,-114252.56,-16.06,-114252.56,-16.03,3.47,0.35,2.97,3.9,5.07,36819.77,0.91,7.11,0.03,1.09,0.0545,23,17254.96,5.67,25.83,10,43.48,533791,53379.1,17.38,41.4,13,56.52,-136926.82,-10532.83,-3.33,13.85,50
6 (GAS),392429.46,78.49,15.63,5.54,35.44,-83505.22,-8.83,-127615.86,-13.58,3.08,0.41,2.61,2.68,4.68,83010.42,0.55,8.25,0.02,1.04,0.0332,22,17837.7,3.65,23.41,8,36.36,626545.15,78318.14,14.74,42.88,14,63.64,-234115.69,-16722.55,-2.68,12.29,50
5 (VIC),392058.16,78.41,13.07,5.54,42.36,-93497.18,-10.38,-114627.83,-16.59,3.42,0.33,2.55,3.35,6.21,65350.64,0.64,6.68,0.02,1.05,0.0382,20,19602.91,3.39,18.6,7,35,559200.48,79885.78,13.67,36.29,13,65,-167142.31,-12857.1,-2.14,9.08,40
9 (FCM),370543.12,74.11,5.2,5.3,101.87,-195355.66,-18.5,-233165.6,-21.38,1.59,0.25,4.76,4.86,9.73,113999.97,0.43,14.63,-0.01,0.9,0.0255,12,30878.59,7.1,22.25,4,33.33,466415.99,116604,30.17,42.5,8,66.67,-95872.87,-11984.11,-4.43,12.13,80
5 (VPB),364088.69,72.82,4.03,5.22,129.57,-66824.19,-8.86,-82882.13,-9.66,4.39,0.54,13.41, N/A, N/A,83796.62,0.37,3.49,-0.05,2.77,0.0222,2,182044.35,33.89,55,2,100,364088.69,182044.35,33.89,55,0,0,0,  N/A,  N/A,  N/A,40
2 (FIT),363450.42,72.69,5.68,5.22,91.86,-255867.61,-26.04,-466559.29,-42.96,0.78,0.12,2.14,2.17,10.86,85019.01,0.13,8.3,-0.02,0.46,0.0078,18,20191.69,2.97,16.22,3,16.67,673306.11,224435.37,44.45,38.33,15,83.33,-309855.69,-20657.05,-5.33,11.8,10
3 (DAH),362146.29,72.43,6.28,5.2,82.86,-280768.95,-24.58,-280768.95,-24.57,1.29,0.21,3.37,19.86,39.72,104103.02,0.21,12.1,-0.02,1.26,0.0127,3,120715.43,24.73,58,1,33.33,381347.89,381347.89,79.5,156,2,66.67,-19201.6,-9600.8,-2.65,9,20
5 (PVT),359977.53,72,6.01,5.18,86.15,-84711.94,-12.27,-84711.94,-12.26,4.25,0.42,7.02,7.87,5.9,33064.68,0.25,4.29,-0.05,2.06,0.0148,7,51425.36,9.49,26.71,4,57.14,412373.84,103093.46,19.1,42,3,42.86,-52396.31,-17465.44,-3.32,6.33,40
6 (BVS),355491.85,71.1,8.05,5.13,63.64,-123917.07,-16.22,-149813.03,-18.86,2.37,0.27,3.37,8.35,4.18,52388.25,0.85,7.76,-0.04,1.33,0.051,12,29624.32,6.82,28.33,8,66.67,403828.28,50478.53,13.3,38.13,4,33.33,-48336.42,-12084.11,-6.14,8.75,50
7 (PHR),353025.94,70.61,6.39,5.1,79.7,-101951.77,-10.69,-113531.84,-11.91,3.11,0.43,6.69,12.91,22.6,66803.78,0.43,4.5,-0.07,1.3,0.0257,11,32093.27,4.99,20.18,4,36.36,382654.97,95663.74,17.39,42,7,63.64,-29629.03,-4232.72,-2.09,7.71,60
9 (LDG),343167.71,68.63,9.69,4.98,51.41,-193100.69,-22.68,-379612.54,-33.83,0.9,0.15,1.52,2.26,2.26,99377.86,0.45,12.26,-0.03,1.06,0.0268,16,21447.98,6.07,21.13,8,50,614817.92,76852.24,17.5,31.88,8,50,-271650.21,-33956.28,-5.36,10.38,80
8 (PVT),335935.55,67.19,13.94,4.9,35.16,-120368.86,-18.18,-238008.12,-30.26,1.41,0.16,1.16,2.34,3.4,76033.94,0.66,14.27,-0.04,0.69,0.0394,27,12442.06,2.63,19.04,11,40.74,587057.72,53368.88,12.34,34.36,16,59.26,-251122.17,-15695.14,-4.04,8.5,70
6 (DIG),335847.05,67.17,4.79,4.9,102.19,-110518.9,-12.23,-120892.16,-13.37,2.78,0.37,7.64, N/A, N/A,82516.38,0.46,5.94,-0.08,1.93,0.0275,4,83961.76,17.27,42.25,4,100,335847.05,83961.76,17.27,42.25,0,0,0,  N/A,  N/A,  N/A,50
6 (HAG),335694.79,67.14,13.61,4.9,35.98,-150689.16,-15.52,-150689.16,-17.92,2.23,0.27,2.01,2.89,3.97,61894.49,0.26,12.78,-0.04,0.77,0.0157,19,17668.15,3.55,20.21,8,42.11,513651.91,64206.49,12.83,33.38,11,57.89,-177957.11,-16177.92,-3.2,10.64,50
