No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
7 (VHC),73510.23,14.7,1.83,1.28,70.05,-43119.37,-8.33,-43119.37,-8.28,1.7,0.16,8.46,5.19,10.39,6937.25,-0.11,2.48,-1.66,1.74,-0.0064,3,24503.41,5.02,18,1,33.33,91037.25,91037.25,18.96,37,2,66.67,-17527.02,-8763.51,-1.96,8.5,60
9 (DRC),73487.09,14.7,3.22,1.28,39.85,-55674.99,-18.02,-64514.84,-11.27,1.14,0.11,3.53,8.3,4.98,9806.18,0.65,5.48,-0.75,1.3,0.0388,8,9185.89,22.25,28.25,5,62.5,83552.13,16710.43,36.19,42.2,3,37.5,-10065.05,-3355.02,-0.98,5,80
9 (CRE),73498.2,14.7,1.34,1.28,95.59,-70818.59,-10.99,-70818.59,-10.99,1.04,0.12,8.7, N/A, N/A,10626.32,0.06,0.52,-7.96, N/A,0.0037,1,73498.2,14.72,37,1,100,73498.2,73498.2,14.72,37,0,0,0,  N/A,  N/A,  N/A,80
7 (DVN),72575.56,14.52,0.86,1.27,147.95,-80693.07,-12.5,-80693.07,-12.49,0.9,0.1,11.85, N/A, N/A,21323.38,0.36,5.68,-0.73, N/A,0.0218,1,72575.56,14.55,24,1,100,72575.56,72575.56,14.55,24,0,0,0,  N/A,  N/A,  N/A,60
5 (SAM),71175.06,14.24,1.64,1.25,75.91,-45699.19,-7.58,-45699.19,-7.57,1.56,0.16,10.03,130.03,130.03,17888.15,0.56,3.7,-1.12,2.42,0.0335,2,35587.53,6.71,27.5,1,50,71726.68,71726.68,14.37,44,1,50,-551.62,-551.62,-0.96,11,40
7 (POW),70162.78,14.03,1.12,1.23,109.93,-56179.31,-8.98,-56179.31,-8.97,1.25,0.14,12.26, N/A, N/A,20631.45,0.3,3.86,-1.08, N/A,0.0179,1,70162.78,14.07,31,1,100,70162.78,70162.78,14.07,31,0,0,0,  N/A,  N/A,  N/A,60
10 (HVN),69340.84,13.87,2.09,1.22,58.17,-61066.88,-9.78,-61066.88,-9.78,1.14,0.12,5.95,7.06,7.06,14113.14,0.09,1.92,-2.18,2.04,0.0052,2,34670.42,7.13,29,1,50,80791.5,80791.5,16.56,48,1,50,-11450.66,-11450.66,-2.3,10,90
5 (NVL),69317.23,13.86,2.43,1.22,50.11,-24308.39,-4.19,-24308.39,-4.32,2.85,0.28,11.59,4.51,4.51,13632.49,-0.02,1.6,-2.61,1.61,-0.0015,2,34658.61,7.31,33.5,1,50,89072.56,89072.56,18.58,65,1,50,-19755.33,-19755.33,-3.96,2,40
8 (SBT),68405.42,13.68,1,1.2,119.76,-90788.65,-13.92,-90788.65,-13.92,0.75,0.09,8.6,9.26,9.26,19515.33,0.13,11.78,-0.36,2.09,0.0075,4,17101.35,3.86,15.75,2,50,76682.79,38341.39,8.82,26.5,2,50,-8277.37,-4138.69,-1.1,5,70
9 (VHC),68247.29,13.65,1.66,1.2,72.35,-75989.29,-12.16,-75989.29,-11.8,0.9,0.1,6.13, N/A, N/A,20369.94,0.31,4.9,-0.86,2.32,0.0183,2,34123.64,20.88,42.5,2,100,68247.29,34123.64,20.88,42.5,0,0,0,  N/A,  N/A,  N/A,80
