No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
8 (TDG),114311.9,22.86,1.08,1.93,178.57,-21347.98,-11.16,-26413.14,-4.29,4.33,0.45,41.6,34.51,51.76,25675.39,0.41,2.03,-1.71,2.56,0.0248,5,22862.38,14.03,18,2,40,117723.51,58861.75,38.25,40,3,60,-3411.61,-1137.2,-2.11,3.33,70
10 (SZC),114102.57,22.82,2.93,1.93,65.93,-76762.49,-11.22,-126951.29,-17.28,0.9,0.11,3.81,3.61,3.61,36001.21,0.22,4.89,-0.71,1.22,0.0132,4,28525.64,4.29,22,2,50,157785.08,78892.54,14.79,36.5,2,50,-43682.51,-21841.25,-6.21,7.5,90
9 (DLG),112791.42,22.56,13.51,1.91,14.15,-286233.48,-24.37,-614446.92,-52.31,0.18,0.04,0.27,1.23,2.76,100851.97,0.45,16.65,-0.21,-0.07,0.0269,26,4338.13,0.12,16.19,8,30.77,613995.82,76749.48,12.93,33.63,18,69.23,-501204.4,-27844.69,-5.57,8.44,80
9 (DGC),111993.52,22.4,1.5,1.9,127.01,-22817.94,-6.29,-27376.52,-5.37,4.09,0.35,23.64,9.41,37.64,9209.56,-0.05,1.47,-2.38,0.63,-0.003,5,22398.7,2.01,13.2,1,20,125309.49,125309.49,25.81,30,4,80,-13315.98,-3328.99,-3.94,9,80
7 (VRC),111720.43,22.34,2.32,1.89,81.74,-134163.7,-18,-134163.7,-18.83,0.83,0.1,4.34,5.63,1.41,24998.22,0.37,8.63,-0.41,2.71,0.0221,5,22344.09,4.76,19,4,80,135831.71,33957.93,6.97,20.5,1,20,-24111.28,-24111.28,-4.11,13,60
9 (VGC),110704.7,22.14,3.28,1.88,57.21,-73670.87,-11.11,-76291.55,-11.15,1.45,0.17,5.13,5.01,1,31363.34,0.43,5.27,-0.67,2.34,0.0257,6,18450.78,8.67,28.17,5,83.33,138290.48,27658.1,11.27,29.8,1,16.67,-27585.78,-27585.78,-4.33,20,80
9 (HDB),109986.95,22,5.56,1.87,33.6,-71902.8,-13.13,-75905.73,-13.85,1.45,0.13,2.43,3.73,2.8,13109.9,-0.01,5.12,-0.69,1.14,-0.0007,7,15712.42,3.18,22.29,4,57.14,150212.2,37553.05,7.57,30.75,3,42.86,-40225.25,-13408.42,-2.67,11,80
8 (NVL),109563.83,21.91,3.92,1.86,47.43,-73375.67,-10.65,-116088.24,-16.59,0.94,0.11,2.86,3.33,4.99,31939.63,0.35,6.78,-0.52,1.22,0.0208,5,21912.77,4.76,22.2,2,40,156651.44,78325.72,15.86,40.5,3,60,-47087.62,-15695.87,-2.64,10,70
8 (HT1),109428.05,21.89,3.98,1.86,46.73,-42600.67,-18.67,-67371.15,-11.26,1.62,0.17,4.15,2.85,2.85,15301.83,0.63,3.38,-1.05,1.04,0.0375,12,9119,9.26,23.67,6,50,168571.5,28095.25,23.78,37.67,6,50,-59143.45,-9857.24,-5.25,9.67,70
7 (GMD),109290.43,21.86,2.02,1.86,91.71,-59723.29,-18.02,-59723.29,-9,1.83,0.21,10.19,13.12,6.56,16795.6,0.4,3.66,-0.97,1.89,0.0242,3,36430.14,34.6,44.67,2,66.67,118308.97,59154.48,53.94,64.5,1,33.33,-9018.54,-9018.54,-4.09,5,60
