No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
9 (PNJ),248299.54,49.66,9.24,3.82,41.37,-108834.62,-11.8,-287178.31,-27.78,0.86,0.14,1.49,2.15,5.74,90479.16,0.36,11.1,-0.14,0.6,0.0213,11,22572.69,4.98,27.09,3,27.27,463503.63,154501.21,30.44,68,8,72.73,-215204.08,-26900.51,-4.57,11.75,80
8 (FRT),247904.42,49.58,1.85,3.82,206.05,-123874.78,-14.46,-123874.78,-14.46,2,0.26,14.25,20.62,20.62,46901.01,0.11,2.39,-0.66,2.13,0.0066,2,123952.21,22.98,29.5,1,50,260539.01,260539.01,53.52,47,1,50,-12634.59,-12634.59,-7.56,12,70
6 (HPG),242982.97,48.6,4.18,3.75,89.83,-85701.86,-10.89,-85701.86,-10.88,2.84,0.35,8.25,72.99,24.33,42579.87,0.18,3.99,-0.41,2.04,0.0109,4,60745.74,11.42,29,3,75,246358.16,82119.39,15.46,37.33,1,25,-3375.19,-3375.19,-0.68,4,50
9 (SHS),240476.76,48.1,5.26,3.72,70.77,-143425.14,-26.67,-157253.93,-20.39,1.53,0.18,3.47,2.61,3.92,95115.28,0.3,13.64,-0.12,1.14,0.0181,15,16031.78,10.37,23.07,6,40,389577.14,64929.52,36.84,41.83,9,60,-149100.39,-16566.71,-7.27,10.56,80
9 (REE),240375.92,48.08,19.1,3.72,19.48,-53295.58,-10.71,-201885.56,-34.22,1.19,0.11,0.57,1.85,2.56,58673.35,0.2,19.73,-0.09,0.43,0.012,31,7754.06,1.39,18.81,13,41.94,523348.76,40257.6,8.35,32.92,18,58.06,-282972.84,-15720.71,-3.64,8.61,80
7 (TTB),239369.82,47.87,2.71,3.71,136.7,-173371.98,-18.61,-197122.76,-21.11,1.21,0.18,6.48,5.34,21.35,53729.03,0.04,4.89,-0.35,1.35,0.0021,5,47873.96,9.95,17.6,1,20,294559.42,294559.42,63.58,51,4,80,-55189.61,-13797.4,-3.46,9.25,60
9 (PDR),238072.84,47.61,8.72,3.69,42.35,-64425.62,-9.45,-208370.33,-30.55,1.14,0.12,1.39,2.47,8.04,33102.1,0.15,10.83,-0.16,0.69,0.0087,17,14004.28,2.87,17,4,23.53,399528.62,99882.15,20.38,40.25,13,76.47,-161455.78,-12419.68,-2.51,9.85,80
8 (BMI),235925.64,47.19,4.61,3.66,79.36,-61782.51,-11.25,-61782.51,-8.54,3.82,0.43,9.3,16.13,20.74,21170.77,0.59,2.74,-0.63,1.48,0.0355,16,14745.35,4.73,18.69,7,43.75,251519.08,35931.3,13.9,31.43,9,56.25,-15593.44,-1732.6,-2.4,8.78,70
8 (VPB),234197.19,46.84,4.66,3.64,78.08,-87013.01,-10.99,-149913.87,-17.53,1.56,0.21,4.46,3.66,2.44,68216.13,0.36,7.13,-0.25,1.23,0.0215,5,46839.44,10.35,26,3,60,322185.74,107395.25,21.12,40.33,2,40,-87988.55,-43994.28,-5.8,4.5,70
8 (GEX),231819.02,46.36,6.33,3.61,56.97,-119302.5,-14.25,-119302.5,-14.24,1.94,0.25,4,7.06,3.53,41991.15,0.37,4.17,-0.43,1.95,0.022,9,25757.67,4.96,23.11,6,66.67,270098.99,45016.5,8.81,31.67,3,33.33,-38279.96,-12759.99,-2.75,6,70
7 (HAR),231069.37,46.21,6.83,3.6,52.67,-140921.03,-16.81,-213494.87,-22.78,1.08,0.16,2.31,2.32,3.49,65166.49,0.54,14.35,-0.13,1.17,0.0326,10,23106.94,5.75,25.1,4,40,405491,101372.75,22.35,42.25,6,60,-174421.63,-29070.27,-5.31,13.67,60
9 (PLC),230667.97,46.13,4.74,3.59,75.81,-45182.2,-15.19,-50368.33,-9.04,4.58,0.4,8.38,4.31,3.02,20960.34,0.22,4.39,-0.41,0.95,0.0131,17,13568.7,4.63,22.24,10,58.82,300302.55,30030.26,11.93,29.2,7,41.18,-69634.59,-9947.8,-5.8,12.29,80
8 (DL1),225423.95,45.08,0.88,3.52,401.8,-77240.88,-18.84,-77240.88,-9.69,2.92,0.36,41.46, N/A, N/A,63234.51,0.4,4.64,-0.4, N/A,0.024,1,225423.95,199.51,59,1,100,225423.95,225423.95,199.51,59,0,0,0,  N/A,  N/A,  N/A,70
9 (HPG),225353.98,45.07,8.37,3.52,42.12,-80248.89,-10.96,-183382.88,-29.63,1.23,0.12,1.42,3.08,3.85,68312.56,0.33,10.79,-0.17,0.66,0.0201,18,12519.67,3.19,20.83,8,44.44,333666.8,41708.35,11.17,35,10,55.56,-108312.81,-10831.28,-3.2,9.5,80
5 (MSR),224437.65,44.89,1.49,3.51,235.33,-292230.61,-29.41,-292230.61,-29.39,0.77,0.12,8.01, N/A, N/A,65998.07,0.37,13.51,-0.14, N/A,0.022,1,224437.65,45.01,41,1,100,224437.65,224437.65,45.01,41,0,0,0,  N/A,  N/A,  N/A,40
10 (DBC),222357.98,44.47,2.42,3.48,143.71,-106631.44,-24.91,-106631.44,-13.09,2.09,0.27,10.98,5.83,14.59,38727.32,0.1,6.17,-0.31,0.86,0.0063,14,15882.71,13.13,22.5,4,28.57,268349.05,67087.26,63.91,53.75,10,71.43,-45991.08,-4599.11,-7.17,10,90
7 (HT1),218406.86,43.68,4.74,3.43,72.4,-62945.8,-18.67,-62945.8,-9.26,3.47,0.37,7.82,15.66,11.19,14502.71,1.12,4.81,-0.41,1.3,0.0669,12,18200.57,11.75,26.42,7,58.33,233300.39,33328.63,22.75,40.71,5,41.67,-14893.53,-2978.71,-3.65,6.4,60
8 (DGC),217011.08,43.4,1.98,3.41,172.54,-23723.96,-11.54,-27085.31,-4.58,8.01,0.75,37.71,60.51,90.76,21167.25,0.08,0.57,-3.51,1.65,0.0049,5,43402.22,15.61,25.8,2,40,220657.82,110328.91,46.55,53,3,60,-3646.73,-1215.58,-5.02,7.67,70
8 (KDC),215958.88,43.19,7.05,3.4,48.2,-106079.57,-14.66,-113305.76,-22.66,1.91,0.15,2.13,2.57,7.18,60399.89,-0.07,12.6,-0.16,0.46,-0.004,19,11366.26,2.3,14.47,5,26.32,353930.39,70786.08,18.34,27.2,14,73.68,-137971.51,-9855.11,-3.43,9.93,70
10 (SBT),213359.97,42.67,11.63,3.36,28.92,-125062.59,-14.93,-262196.38,-26.88,0.81,0.13,1.08,1.71,2.56,116132.33,0.38,16.46,-0.12,0.67,0.023,20,10668,4.8,24.75,8,40,514540.07,64317.51,19.54,39.75,12,60,-301180.09,-25098.34,-5.02,14.75,90
8 (GEG),210585.82,42.12,2.39,3.33,138.91,-49444.03,-11.29,-49444.03,-6.53,4.26,0.51,21.28,65.55,43.7,53960.37,0.24,2.14,-0.97,2.37,0.0144,5,42117.16,13.23,20.8,3,60,213848.08,71282.69,22.86,32.67,2,40,-3262.26,-1631.13,-1.22,3,70
5 (HBC),206533.85,41.31,3.32,3.27,98.48,-141954.59,-18.7,-141954.59,-18.69,1.45,0.18,5.27,13.08,6.54,29865.27,0.05,2.97,-0.72,2.47,0.0027,3,68844.62,13.15,30.67,2,66.67,223637.93,111818.97,21.44,42,1,33.33,-17104.08,-17104.08,-3.43,8,40
9 (MSR),205244.29,41.05,2.83,3.25,114.76,-281576.37,-33.33,-366208.53,-35.75,0.56,0.09,3.21,2.37,3.94,57747,0.49,20.08,-0.11,1.17,0.0295,8,25655.54,9.04,16.13,3,37.5,355553.4,118517.8,35.07,29.33,5,62.5,-150309.12,-30061.82,-6.57,8.2,80
9 (HUT),204403.76,40.88,9,3.24,36.03,-152200.99,-18.4,-179580.72,-24.71,1.14,0.13,1.46,1.88,2.42,53746.79,0.51,12.13,-0.18,0.58,0.0304,16,12775.23,2.18,18.25,7,43.75,435587.96,62226.85,12.28,24.71,9,56.25,-231184.21,-25687.13,-5.68,13.22,80
8 (HAP),203182.19,40.64,1.73,3.22,186.53,-325681.87,-38.43,-325681.87,-31.65,0.62,0.1,5.89,4.93,8.87,35659.37,0,8.43,-0.26,0.39,0.0001,14,14513.01,2.45,12.93,5,35.71,254894.21,50978.84,19.77,16.4,9,64.29,-51712.02,-5745.78,-7.17,11,70
8 (QBS),199726.68,39.95,3.75,3.18,84.75,-101538.36,-25.6,-141748.36,-25.18,1.41,0.13,3.37,3.14,6.9,66224.29,0.37,10.18,-0.22,0.87,0.0223,16,12482.92,4.29,12.56,5,31.25,293187.59,58637.52,22.7,21.6,11,68.75,-93460.91,-8496.45,-4.07,8.45,70
4 (FIT),196535.14,39.31,1.53,3.13,204.33,-198652.14,-22.2,-198652.14,-22.19,0.99,0.14,9.21,594.73,594.73,35720.31,0.09,2.97,-0.76,2.88,0.0056,2,98267.57,18.68,23,1,50,196866.16,196866.16,39.48,42,1,50,-331.02,-331.02,-2.11,4,30
8 (DLG),196273.3,39.25,8.12,3.13,38.52,-161575.71,-21.62,-403905.52,-36.71,0.49,0.09,1.05,1.49,1.92,120437.37,0.45,13.23,-0.17,0.72,0.0272,16,12267.08,4.54,18.25,7,43.75,593476.88,84782.41,20.98,32.29,9,56.25,-397203.57,-44133.73,-8.25,7.33,70
9 (DLG),195496.96,39.1,8.7,3.12,35.86,-239068.69,-24.37,-285551.04,-29.11,0.68,0.11,1.23,2.02,3.23,41105.77,0.64,13.62,-0.17,0.42,0.0384,13,15038.23,1.97,20.23,5,38.46,387042.87,77408.57,14.28,33.4,8,61.54,-191545.91,-23943.24,-5.72,12,80
6 (SHB),193147.21,38.63,5.58,3.09,55.34,-97073.39,-12.2,-125515.62,-15.49,1.54,0.2,3.57,2.99,10.46,63352.5,0.36,10.64,-0.22,0.98,0.0216,9,21460.8,4.6,18.22,2,22.22,290342.59,145171.3,28.64,47,7,77.78,-97195.38,-13885.05,-2.27,10,50
8 (HBC),190903.09,38.18,7.23,3.06,42.25,-207899.28,-20.51,-335230.81,-33.06,0.57,0.09,1.28,1.98,3.57,67000.02,0.46,14.08,-0.17,1.09,0.0277,14,13635.93,7.89,23.79,5,35.71,384992.86,76998.57,29.7,46,9,64.29,-194089.78,-21565.53,-4.23,11.44,70
9 (MSN),188799.47,37.76,10.14,3.03,29.85,-164773.32,-19.18,-179500.23,-21.04,1.05,0.14,1.42,2.28,3.8,48853.75,0.19,14.5,-0.16,1.04,0.0113,16,11799.97,3.97,23.88,6,37.5,336267.89,56044.65,15.21,43.33,10,62.5,-147468.42,-14746.84,-2.78,12.2,80
8 (CTS),188034.31,37.61,3.23,3.02,93.39,-90139.64,-18.31,-105794.43,-14.36,1.78,0.21,6.5,9.2,23.92,30467.16,0.69,5.39,-0.44,1.04,0.0412,18,10446.35,4.66,18.22,5,27.78,210968.93,42193.79,24,41.8,13,72.22,-22934.62,-1764.2,-2.77,9.15,70
8 (PC1),187716.15,37.54,3.56,3.01,84.5,-45022.55,-9.72,-74107.88,-13.39,2.53,0.22,6.31,9.01,15.02,26082.39,0.14,4.62,-0.52,1.1,0.0084,8,23464.52,4.77,21.5,3,37.5,211151.23,70383.74,17.97,35.33,5,62.5,-23435.09,-4687.02,-3.16,13.2,70
7 (SAM),186386.35,37.28,3.86,2.99,77.62,-62285.47,-15.31,-96227.77,-13.98,1.94,0.21,5.55,6.46,6.46,23420.4,0.86,7.18,-0.34,1.46,0.0518,10,18638.64,8.82,22.5,5,50,220553.77,44110.75,19.42,36,5,50,-34167.42,-6833.48,-1.78,9,60
6 (PVT),184217.34,36.84,3.28,2.96,90.33,-120538.18,-16.2,-134713.23,-18.1,1.37,0.16,4.99,25.45,6.36,29632.45,0.76,10.15,-0.24,2.46,0.0457,5,36843.47,10.31,29.2,4,80,191751.71,47937.93,13.39,35.75,1,20,-7534.37,-7534.37,-1.98,3,50
8 (C69),180488.82,36.1,1.18,2.91,246.08,-36116.59,-25.86,-45320.34,-6.27,3.98,0.46,39.26,10.13,3.38,49058.35,0.23,1.87,-1.33,1.44,0.0137,4,45122.2,36.56,31.25,3,75,200261.83,66753.94,57.38,40.33,1,25,-19773.01,-19773.01,-25.89,4,70
8 (KBC),178556.81,35.71,14.32,2.88,20.13,-142365.93,-18.13,-429390.57,-39,0.42,0.07,0.52,1.35,2.36,148884.62,0.19,21.29,-0.12,0.64,0.0111,22,8116.22,2.81,20.45,8,36.36,691271.04,86408.88,16.97,39.13,14,63.64,-512714.23,-36622.44,-5.29,9.79,70
