No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,nDay Buy Delay
2 (LMH),14167.11,2.83,3.3,0.26,7.9,-64081.45,-20.42,-93669.45,-17.95,0.15,0.01,0.44,1.12,2.8,12967.18,0.07,4.83,-1.06,0.02,0.0044,7,2023.87,0.44,18.29,2,28.57,131951.41,65975.71,20.65,41,5,71.43,-117784.3,-23556.86,-7.65,9.2,1
8 (KDH),13865.82,2.77,15.84,0.25,1.61,-67832,-44.31,-120148.07,-21.07,0.12,0.01,0.08,1.08,1.6,37136.81,0.11,13.03,-0.39,-0.16,0.0066,57,243.26,-0.03,27.42,23,40.35,180056.79,7828.56,7.81,30.39,34,59.65,-166190.97,-4887.97,-5.34,25.41,7
9 (DRI),13720.08,2.74,1.33,0.25,18.95,-29994.78,-15.69,-29994.78,-5.7,0.46,0.04,3.33,1.91,1.28,2486.24,0.27,2.19,-2.35,1.39,0.0163,10,1372.01,4.85,26.5,6,60,28721.33,4786.89,11.03,34.83,4,40,-15001.25,-3750.31,-4.42,14,8
11 (NRC),13708.42,2.74,0.58,0.25,43.58,-14031.52,-16,-22995.86,-4.53,0.6,0.06,9.61,3.12,3.12,2278.8,0.02,0.45,-11.45,1.37,0.0012,2,6854.21,9.26,41.5,1,50,20162.15,20162.15,24.33,64,1,50,-6453.73,-6453.73,-5.81,19,10
10 (CCL),13574.42,2.71,5.19,0.25,4.81,-77241.68,-43.56,-167390.25,-28.63,0.08,0.01,0.17,1.09,1.29,17164.61,0.01,11.13,-0.46,0.6,0.0004,35,387.84,5.79,28.06,16,45.71,166026.88,10376.68,22.16,40.38,19,54.29,-152452.46,-8023.81,-7.99,17.68,9
6 (EVF),13532.63,2.71,0.33,0.25,75.62,-7433.54,-19.35,-8852.77,-1.71,1.53,0.15,44.18,6.62,4.41,2290.4,0.18,0.37,-13.97,1.68,0.0108,10,1353.26,7.11,20.8,6,60,15941.83,2656.97,14.68,31.33,4,40,-2409.2,-602.3,-4.25,5,5
2 (VNE),13518.99,2.7,21.4,0.25,1.16,-140764.18,-50.1,-341320.05,-53.88,0.04,0,0.02,1.02,2.28,91213.58,0.18,28.9,-0.18,0.39,0.0109,68,198.81,2.73,19.96,21,30.88,761203.74,36247.8,20.54,38.05,47,69.12,-747684.75,-15908.19,-5.23,11.87,1
8 (BVB),13523.56,2.7,0.63,0.25,39.21,-19363.08,-3.64,-19363.08,-3.63,0.7,0.07,10.79, N/A, N/A,939.48,0.03,0.1,-52.02, N/A,0.0016,1,13523.56,2.71,18,1,100,13523.56,13523.56,2.71,18,0,0,0,  N/A,  N/A,  N/A,7
6 (CKG),13350.57,2.67,0.51,0.25,48.3,-34477.35,-8.6,-34477.35,-6.46,0.39,0.04,7.48,8.65,8.65,1507.53,0.03,0.33,-15.46,2.51,0.0021,2,6675.29,1.17,10.5,1,50,15095.57,15095.57,3.04,9,1,50,-1745,-1745,-0.69,12,5
10 (DST),13326.29,2.67,9.04,0.25,2.71,-301707.18,-50.1,-447503.49,-46.57,0.03,0.01,0.06,1.03,2.2,78923.08,0.38,17.79,-0.29,0.4,0.023,22,605.74,7.26,30.64,7,31.82,494024.53,70574.93,49.89,50.71,15,68.18,-480698.24,-32046.55,-12.63,21.27,9
5 (KHP),13010.86,2.6,0.73,0.24,32.92,-5926.18,-15.66,-5926.18,-1.15,2.2,0.21,28.64,3.46,6.15,3408.15,0.56,0.64,-8.04,0.68,0.0333,25,520.43,3.34,25.72,9,36,18301.7,2033.52,14.7,43.33,16,64,-5290.84,-330.68,-3.06,15.81,4
6 (KHP),12899.89,2.58,0.88,0.24,26.96,-7443.86,-15.66,-7443.86,-1.44,1.73,0.16,18.67,3.28,3.28,2738.87,0.72,0.84,-6.12,0.74,0.0433,24,537.5,3.4,26.08,12,50,18565.4,1547.12,10.2,38.58,12,50,-5665.51,-472.13,-3.4,13.58,5
5 (CSV),12872.75,2.57,2.81,0.24,8.44,-43896.47,-13.87,-68634.92,-12.7,0.19,0.02,0.66,1.21,1.73,9133.12,-0.26,6.82,-0.76,0.03,-0.0158,17,757.22,0.5,21.41,7,41.18,73367.71,10481.1,8.47,30,10,58.82,-60494.96,-6049.5,-5.08,15.4,4
8 (DGC),12776.27,2.56,1.75,0.24,13.42,-14258.35,-21.3,-40298.71,-8.06,0.32,0.03,1.67,1.34,2.23,7440.12,-0.32,2.4,-2.15,0.5,-0.0195,16,798.52,2.35,20.5,6,37.5,50480.17,8413.36,12.47,34.5,10,62.5,-37703.9,-3770.39,-3.72,12.1,7
4 (KMR),12703.19,2.54,12.17,0.23,1.92,-105473.08,-35,-193227.26,-36.66,0.07,0.01,0.05,1.04,2.62,42418.41,0.29,18.18,-0.28,0.28,0.0175,60,211.72,2.04,17.43,17,28.33,350097.11,20593.95,20.32,32.53,43,71.67,-337393.92,-7846.37,-5.19,11.47,3
5 (AGR),12550.04,2.51,9.62,0.23,2.4,-132584.29,-43.45,-288871.86,-39.72,0.04,0.01,0.06,1.04,1.76,78062.26,0.04,21.01,-0.25,0.16,0.0026,54,232.41,1.42,26.35,20,37.04,352185.18,17609.26,15.76,37.75,34,62.96,-339635.15,-9989.27,-7.01,19.65,4
10 (NVL),12425.4,2.49,21.76,0.23,1.05,-117641,-18.21,-264592.08,-38.09,0.05,0.01,0.03,1.04,2.08,34059.43,0.03,12.61,-0.41,-0.02,0.0016,18,690.3,0.6,33.5,6,33.33,318548.9,53091.48,11.24,39.83,12,66.67,-306123.49,-25510.29,-4.72,30.33,9
7 (CTD),12157.45,2.43,18.2,0.22,1.23,-131120.48,-19.67,-251483.26,-33.05,0.05,0.01,0.04,1.03,1.22,35903.66,0.39,8.76,-0.59,0.26,0.0235,24,506.56,1.19,25.04,11,45.83,393635.49,35785.04,8.48,36.27,13,54.17,-381478.04,-29344.46,-4.97,15.54,6
10 (EVF),12004.54,2.4,0.36,0.22,61,-11712.26,-19.35,-12918.61,-2.52,0.93,0.09,24.19,21.85,21.85,1726.68,0.16,0.52,-9.92,1.88,0.0096,8,1500.57,9.66,27.13,4,50,12580.35,3145.09,20.37,37.75,4,50,-575.82,-143.95,-1.05,16.5,9
11 (CCL),11995.94,2.4,3.54,0.22,6.25,-39650.01,-43.56,-83929.67,-15.32,0.14,0.01,0.41,1.11,1.48,11924.09,0.11,6.53,-0.79,0.58,0.0066,35,342.74,5.92,29,15,42.86,119131.24,7942.08,24.07,40.87,20,57.14,-107135.29,-5356.76,-7.69,20.1,10
11 (EVG),11939.88,2.39,3.24,0.22,6.78,-68431.35,-19.1,-131543.52,-24.6,0.09,0.01,0.28,1.12,1.49,24905.5,-0.27,9.59,-0.54,0.11,-0.016,14,852.85,0.77,21.5,6,42.86,111261.27,18543.55,9.84,30.83,8,57.14,-99321.39,-12415.17,-6.02,14.5,10
8 (KSQ),11891.87,2.38,1.35,0.22,16.2,-62577.36,-44.44,-97345.47,-16.46,0.12,0.01,0.98,1.17,2.35,9838.37,0.16,9.76,-0.53,-0.15,0.0098,27,440.44,-0.31,21.7,9,33.33,80059.45,8895.49,18.06,31,18,66.67,-68167.58,-3787.09,-9.49,17.06,7
2 (NDN),11727.39,2.35,14.92,0.22,1.45,-98182.03,-21.23,-227275.13,-38.74,0.05,0.01,0.04,1.03,2.16,27789.66,-0.26,16.03,-0.32,0.2,-0.0155,68,172.46,1.03,19.22,22,32.35,349771.52,15898.71,13.12,35.09,46,67.65,-338044.13,-7348.79,-4.76,11.63,1
11 (HOM),11475.63,2.3,1.03,0.21,20.58,-24170.2,-28.42,-26606.35,-5.32,0.43,0.04,3.87,1.4,3.86,9002.79,0.32,4.13,-1.26,0.04,0.0191,15,765.04,0.81,25.73,4,26.67,39848.13,9962.03,21.47,35.75,11,73.33,-28372.5,-2579.32,-6.7,22.09,10
11 (JVC),11512.15,2.3,19.07,0.21,1.11,-174856.97,-38.94,-329417.85,-44.91,0.03,0,0.02,1.02,2.18,48119.22,0.09,24.29,-0.21,0.01,0.0056,47,244.94,0.55,24.72,15,31.91,529509.02,35300.6,17.34,35.47,32,68.09,-517996.87,-16187.4,-7.33,19.69,10
10 (SMC),11304.69,2.26,1.13,0.21,18.43,-24923.81,-16.9,-29139.08,-5.39,0.39,0.04,3.42,1.58,1.58,4256.9,0.33,3.77,-1.38,0.75,0.0198,18,628.04,2.6,20.17,9,50,30789.74,3421.08,8.14,23.11,9,50,-19485.05,-2165.01,-2.94,17.22,9
10 (PVC),11160.88,2.23,16.46,0.21,1.25,-164991.18,-43.11,-197156.56,-31.27,0.06,0.01,0.04,1.03,1.8,29802.96,0.16,22.22,-0.23,0.05,0.0094,55,202.93,0.86,25.47,20,36.36,381210.27,19060.51,14.31,27.8,35,63.64,-370049.39,-10572.84,-6.83,24.14,9
5 (BCG),10938.19,2.19,8.82,0.2,2.28,-107888.07,-21,-181888.91,-30.74,0.06,0.01,0.07,1.07,1.82,24757.48,-0.17,15.39,-0.34,0.23,-0.0101,27,405.12,1,18.67,10,37.04,159858.37,15985.84,10.28,27.9,17,62.96,-148920.18,-8760.01,-4.45,13.24,4
5 (TTH),10819.13,2.16,2.14,0.2,9.33,-37624.49,-50,-56125.52,-9.99,0.19,0.02,0.93,1.2,2.11,8971.09,0.25,4.38,-1.19,0.14,0.0147,22,491.78,1.42,29.55,8,36.36,63919.29,7989.91,16.87,34.25,14,63.64,-53100.16,-3792.87,-7.41,26.86,4
7 (EVF),10474.68,2.09,0.2,0.19,96.8,-4443.03,-19.35,-4765.72,-0.93,2.2,0.21,104.33,5.36,3.57,2134.48,0.18,0.24,-21.86,2.19,0.0107,10,1047.47,9.85,20.9,6,60,12877.15,2146.19,18.1,32.17,4,40,-2402.47,-600.62,-2.52,4,6
11 (TTH),10410.76,2.08,3.04,0.19,6.33,-80836.78,-46.86,-120883.29,-20.2,0.09,0.01,0.31,1.12,2.24,11287.46,0.06,8.78,-0.59,-0.07,0.0035,21,495.75,0.19,32.05,7,33.33,98721,14103,19.36,34.14,14,66.67,-88310.25,-6307.87,-9.4,31,10
9 (KMR),10314.23,2.06,9.03,0.19,2.11,-109518.62,-38.22,-151960.42,-28.23,0.07,0.01,0.07,1.03,2.28,48714.52,0.23,15.65,-0.33,0.07,0.0136,48,214.88,1.01,26.58,15,31.25,308131.1,20542.07,19.82,33.93,33,68.75,-297816.87,-9024.75,-7.55,23.24,8
4 (TVB),10286.47,2.06,2.89,0.19,6.56,-29100.78,-37.74,-58668.1,-10.47,0.18,0.02,0.63,1.14,2.19,8274.68,0.27,2.45,-2.13,0.59,0.016,38,270.7,2.11,17.79,13,34.21,84239.34,6479.95,13.04,34.46,25,65.79,-73952.87,-2958.11,-3.57,9.12,3
1 (PET),10302.52,2.06,19.78,0.19,0.96,-75437.79,-16.86,-253567.32,-38.75,0.04,0,0.02,1.02,2.21,26476.84,-0.16,23.7,-0.22,0.21,-0.0099,79,130.41,0.81,16.25,25,31.65,431747.13,17269.89,9.61,33.08,54,68.35,-421444.61,-7804.53,-3.26,8.46,0
1 (IDJ),10196.5,2.04,4.41,0.19,4.27,-103406.39,-36.73,-212812.95,-30.35,0.05,0.01,0.14,1.04,1.93,32774.95,0.23,13.36,-0.39,0.36,0.0139,40,254.91,1.99,15.78,14,35,268035.68,19145.41,20.02,30.36,26,65,-257839.18,-9916.89,-7.71,7.92,0
10 (HAH),10128.01,2.03,3.69,0.19,5.07,-44945.71,-23.05,-69625.74,-12.97,0.15,0.01,0.39,1.22,2.61,8269.68,-0.32,4.01,-1.3,-0.53,-0.0193,22,460.36,-0.83,26.5,7,31.82,56559.21,8079.89,6.72,36.43,15,68.18,-46431.2,-3095.41,-4.35,21.87,9
2 (LDG),10101.51,2.02,18.37,0.19,1.01,-217061.33,-35.18,-567242.83,-58.64,0.02,0,0.02,1.01,1.25,89713.64,0.26,15.29,-0.34,0.39,0.0154,29,348.33,2.47,22.52,13,44.83,727812.21,55985.55,15.51,32.23,16,55.17,-717710.71,-44856.92,-8.12,14.63,1
11 (GTT),9959.48,1.99,8.42,0.18,2.18,-106230.33,-43.75,-162884.63,-32.58,0.06,0.01,0.07,1.07,1.93,25023.53,0.2,10.71,-0.49,-0.12,0.0121,28,355.7,-0.31,28.11,10,35.71,143476.8,14347.68,15.32,41.7,18,64.29,-133517.32,-7417.63,-8.99,20.56,10
8 (C69),9734.61,1.95,3.1,0.18,5.8,-163130.3,-29.33,-237243.91,-34.43,0.04,0.01,0.17,1.06,1.28,21692.46,-0.05,9.53,-0.55,1.02,-0.0027,11,884.96,11.73,25.82,5,45.45,164917.56,32983.51,34.6,38,6,54.55,-155182.96,-25863.83,-7.32,15.67,7
7 (FTS),9436.97,1.89,0.6,0.17,29.26,-8683.62,-12.5,-8683.62,-1.7,1.09,0.1,17.22,3.93,3.27,1778.72,0.29,0.61,-8.6,0.93,0.0172,11,857.91,3.61,17.36,6,54.55,12661.59,2110.26,8.98,22.67,5,45.45,-3224.62,-644.92,-2.84,11,6
1 (DBC),9337.89,1.87,9.74,0.17,1.77,-106631.44,-24.91,-192702.17,-29,0.05,0.01,0.06,1.03,2.49,39259.44,-0.01,21.51,-0.24,0.29,-0.0004,72,129.69,2.1,15.86,21,29.17,363276.18,17298.87,19.85,35.19,51,70.83,-353938.29,-6939.97,-5.2,7.9,0
7 (HAP),9200.47,1.84,5.08,0.17,3.34,-50558.87,-41.83,-83532.95,-14.72,0.11,0.01,0.23,1.05,2.24,16590.66,0.39,9.94,-0.53,0.32,0.0232,50,184.01,2.43,18.9,16,32,177092.93,11068.31,22.22,30.38,34,68,-167892.46,-4938.01,-6.89,13.5,6
11 (CEO),9206.94,1.84,17.39,0.17,0.98,-139837.77,-29.76,-283624.87,-37.14,0.03,0,0.03,1.03,1.17,37322.7,0.31,12.39,-0.42,0.03,0.0183,30,306.9,0.6,24.97,14,46.67,348068.93,24862.07,7.61,29.21,16,53.33,-338861.99,-21178.87,-5.54,21.25,10
3 (TDC),9197.93,1.84,9.96,0.17,1.7,-103447.86,-20.34,-220974.2,-30.63,0.04,0.01,0.06,1.04,1.67,46884.24,0.1,19.77,-0.26,0.28,0.0058,60,153.3,1.13,19.03,23,38.33,244117.45,10613.8,9.25,29.57,37,61.67,-234919.53,-6349.18,-3.92,12.49,2
11 (BFC),9129.71,1.83,6.27,0.17,2.69,-60697.82,-17.92,-179986.15,-30.64,0.05,0.01,0.09,1.05,2.1,23672.84,0.07,7.5,-0.7,0.25,0.004,21,434.75,1.47,22.14,7,33.33,185172.65,26453.24,15.19,30.29,14,66.67,-176042.95,-12574.5,-5.4,18.07,10
3 (FTS),9152.8,1.83,0.9,0.17,18.82,-13228.3,-12.5,-15645.81,-2.99,0.58,0.06,6.29,1.55,2.17,2914.98,0.17,0.53,-9.94,0.56,0.0103,12,762.73,2.35,17.33,5,41.67,25744.22,5148.84,11.75,23.6,7,58.33,-16591.42,-2370.2,-4.37,12.86,2
4 (GIL),8979.19,1.8,3.38,0.17,4.9,-55402.31,-14.1,-100880.85,-19.87,0.09,0.01,0.25,1.08,1.39,15620.77,-0.19,11.39,-0.46,0.72,-0.0111,16,561.2,4.33,27.19,7,43.75,115099.56,16442.79,17.62,49,9,56.25,-106120.37,-11791.15,-6.01,10.22,3
1 (TCD),8996.24,1.8,0.32,0.17,52.31,-8165.01,-11.44,-15386.34,-2.95,0.58,0.06,17.76,2.1,3.14,3166.11,0.35,1.29,-4.06,0.24,0.0208,5,1799.25,0.81,14,2,40,17200.64,8600.32,10.13,20,3,60,-8204.4,-2734.8,-5.41,10,0
8 (LTG),8632.68,1.73,0.8,0.16,20.03,-34717.94,-11.65,-48042.09,-9.12,0.18,0.02,2.2,1.42,2.85,1835.25,-0.05,1.1,-4.77,1.66,-0.0027,3,2877.56,13.54,25,1,33.33,28962.47,28962.47,48.59,45,2,66.67,-20329.8,-10164.9,-3.99,15,7
3 (CKG),8525.43,1.71,0.37,0.16,42.03,-19654.29,-8.6,-19654.29,-3.78,0.43,0.04,11.13,2.6,2.6,931.69,0.01,0.19,-27.94,0.21,0.0006,2,4262.71,0.49,13.5,1,50,13857.1,13857.1,4.98,12,1,50,-5331.68,-5331.68,-4.01,15,2
6 (BCG),8419.05,1.68,7.53,0.16,2.07,-107561.82,-28.25,-176919.47,-29.29,0.05,0.01,0.07,1.07,2.14,18063.94,-0.21,15.5,-0.34,0.31,-0.0126,27,311.82,1.34,21.44,9,33.33,126330.68,14036.74,11.34,28.11,18,66.67,-117911.63,-6550.65,-3.66,18.11,5
3 (KHP),8386.71,1.68,0.69,0.15,22.51,-12936.41,-15.66,-12936.41,-2.49,0.65,0.06,9.03,1.87,3.74,3704.94,0.44,1.7,-3.09,0.41,0.0266,27,310.62,2.14,25.11,9,33.33,18050.16,2005.57,13.87,44.44,18,66.67,-9663.45,-536.86,-3.72,15.44,2
8 (NAF),8368.58,1.67,7.67,0.15,2.02,-82826.39,-19.52,-98335.36,-17.85,0.09,0.01,0.11,1.06,1.7,17698.08,0.13,4.5,-1.17,-0.03,0.0075,26,321.87,0.35,21.27,10,38.46,147911.69,14791.17,8.64,32.7,16,61.54,-139543.11,-8721.44,-4.84,14.13,7
4 (CKG),8280.13,1.66,0.68,0.15,22.38,-34147.95,-8.6,-36585.82,-7.13,0.23,0.02,3.14,1.52,1.52,1589.05,-0.01,0.41,-12.75,-0.19,-0.0005,2,4140.07,0.04,12.5,1,50,24075.75,24075.75,4.98,11,1,50,-15795.62,-15795.62,-4.91,14,3
7 (G36),8187.29,1.64,1.85,0.15,8.16,-110224.57,-27.59,-110224.57,-19,0.07,0.01,0.43,1.68,5.86,4084.38,0,2.29,-2.29,-2.05,0.0002,9,909.7,-1.8,17.33,2,22.22,20306.13,10153.07,3.4,28.5,7,77.78,-12118.84,-1731.26,-3.29,14.14,6
1 (TDT),8027.35,1.61,0.56,0.15,26.33,-10881.03,-10,-10881.03,-2.12,0.74,0.07,12.41,2.79,4.66,1717.06,0,0.71,-7.42,0.54,0.0002,8,1003.42,1.42,17.25,3,37.5,12500.39,4166.8,8.23,25.67,5,62.5,-4473.04,-894.61,-2.67,12.2,0
11 (MSN),7858.63,1.57,38.02,0.15,0.38,-223553.93,-31.68,-428302.56,-48.67,0.02,0,0.01,1.01,1.1,95615.37,0.17,23.2,-0.23,0.16,0.01,48,163.72,1.11,26.81,23,47.92,783539.71,34066.94,9.2,35.7,25,52.08,-775681.08,-31027.24,-6.33,18.64,10
11 (KHP),7820.76,1.56,0.66,0.14,21.84,-20597.08,-15.66,-20597.08,-3.92,0.38,0.04,5.58,2.19,1.25,2069.49,0.46,2.71,-1.94,0.9,0.0274,22,355.49,4.56,31.64,14,63.64,14385.95,1027.57,9.41,36.64,8,36.36,-6565.19,-820.65,-3.92,22.88,10
7 (IDJ),7597.33,1.52,4.7,0.14,2.99,-71229.77,-44.68,-121961.28,-20.58,0.06,0.01,0.15,1.05,1.57,16103.05,0.14,12.9,-0.41,0.17,0.0082,30,253.24,1.64,23.73,12,40,166934.03,13911.17,18.69,32.83,18,60,-159336.7,-8852.04,-9.73,17.67,6
4 (FTS),7389.87,1.48,0.75,0.14,18.13,-17578.05,-12.5,-17578.05,-3.35,0.42,0.04,5.41,2.5,6.68,1673.39,-0.11,0.37,-14.26,0.6,-0.0064,11,671.81,2.97,20.36,3,27.27,12302.81,4100.94,18.82,35.67,8,72.73,-4912.94,-614.12,-2.97,14.63,3
11 (QNS),7303.58,1.46,10.92,0.14,1.24,-79714.35,-25.36,-120026.11,-23.87,0.06,0.01,0.05,1.06,2.66,20234.2,-0.27,6.27,-0.84,-0.55,-0.016,14,521.68,-0.95,29.14,4,28.57,122831.98,30708,7.82,30.25,10,71.43,-115528.4,-11552.84,-4.46,28.7,10
6 (CEO),7183.97,1.44,16.81,0.13,0.79,-142186.67,-29.76,-179076.24,-27.38,0.04,0,0.03,1.03,1.9,22170.52,0.14,10.95,-0.48,-0.33,0.0083,37,194.16,-0.29,18.65,13,35.14,263216.73,20247.44,5.59,26.46,24,64.86,-256032.76,-10668.03,-3.47,14.42,5
7 (PVD),7095.75,1.42,43.06,0.13,0.3,-601069.71,-53.57,-883951.08,-69.34,0.01,0,0,1.01,1.4,147853.74,0.08,38.95,-0.14,0.14,0.0046,55,129.01,1.16,26.75,23,41.82,1372621.14,59679.18,11.22,38,32,58.18,-1365525.39,-42672.67,-6.08,18.66,6
7 (TCD),7022.1,1.4,0.42,0.13,31.2,-12369.99,-11.44,-12369.99,-2.4,0.57,0.05,13.03,4.17,2.09,2004.07,0.4,0.99,-5.34,0.92,0.0238,3,2340.7,3.16,34.67,2,66.67,9237.27,4618.64,7.96,20,1,33.33,-2215.17,-2215.17,-6.43,64,6
9 (KHP),6692.37,1.34,0.55,0.12,22.37,-11057.38,-15.66,-11057.38,-2.15,0.61,0.06,10.42,1.95,2.54,1951.68,0.57,1.4,-3.76,0.88,0.0343,23,290.97,3.86,25.65,10,43.48,13721.56,1372.16,13.01,45.4,13,56.52,-7029.18,-540.71,-3.17,10.46,8
4 (MIG),6550.2,1.31,0.42,0.12,28.59,-10331.9,-6.21,-10331.9,-2,0.63,0.06,14.3, N/A, N/A,1937.87,0.23,0.73,-7.27, N/A,0.0139,1,6550.2,4.38,38,1,100,6550.2,6550.2,4.38,38,0,0,0,  N/A,  N/A,  N/A,3
8 (DAH),6175.9,1.24,7.51,0.11,1.52,-151478.37,-29.92,-173080.58,-32.07,0.04,0,0.05,1.04,1.3,39494.16,-0.15,13.5,-0.39,0.62,-0.0088,18,343.11,4.98,30.17,8,44.44,170192.18,21274.02,17.84,51.13,10,55.56,-164016.28,-16401.63,-5.3,13.4,7
2 (FCN),6086.09,1.22,23.67,0.11,0.48,-120181.8,-28.83,-444053.27,-52.69,0.01,0,0.01,1.01,2.28,109984.56,0.03,23.05,-0.23,-0.21,0.002,62,98.16,-0.18,17.19,19,30.65,651417.42,34285.13,8.62,26.05,43,69.35,-645331.33,-15007.71,-4.07,13.28,1
1 (VGT),5984.1,1.2,7.01,0.11,1.58,-80941.69,-17.49,-178313.48,-28.16,0.03,0,0.06,1.03,3.62,25840.58,0.15,6.24,-0.85,-0.59,0.0091,18,332.45,-1.04,16.28,4,22.22,178188.36,44547.09,11.83,29.5,14,77.78,-172204.25,-12300.3,-4.72,12.5,0
10 (TCD),5827.45,1.17,0.32,0.11,33.42,-8965.49,-11.44,-8965.49,-1.76,0.65,0.06,19.01,7.03,3.52,1585.42,0.4,0.48,-11.07,0.47,0.0239,3,1942.48,1.28,31.67,2,66.67,6793.3,3396.65,3.96,17,1,33.33,-965.85,-965.85,-4.09,61,9
7 (TDG),5791.29,1.16,3.6,0.11,2.98,-93656.01,-18.85,-206295.84,-32.49,0.03,0,0.09,1.05,1.63,23381.76,-0.19,14.22,-0.37,-0.58,-0.0113,23,251.8,-1.25,15.35,9,39.13,130187.61,14465.29,7.32,14.11,14,60.87,-124396.32,-8885.45,-6.76,16.14,6
2 (BSI),5705.19,1.14,2.55,0.11,4.15,-33812.03,-45.99,-46817.7,-8.86,0.12,0.01,0.47,1.12,1.98,8013.14,0.15,3.54,-1.49,0.22,0.0091,25,228.21,0.96,21.48,9,36,54956.69,6106.3,9.33,29.78,16,64,-49251.49,-3078.22,-3.75,16.81,1
3 (CSV),5576.25,1.12,4.42,0.1,2.33,-61126.85,-12.54,-105465.4,-19.63,0.05,0.01,0.12,1.08,1.7,10055.51,-0.41,7.8,-0.68,0.24,-0.0244,18,309.79,0.96,19.11,7,38.89,74529.43,10647.06,8.61,34.29,11,61.11,-68953.17,-6268.47,-3.9,9.45,2
11 (IDC),5356.9,1.07,0.31,0.1,31.65,-8174.17,-18.26,-8174.17,-1.6,0.66,0.06,19.81,4.95,6.6,1644.58,0.33,0.57,-9.34,0.5,0.0196,7,765.27,1.01,14.29,3,42.86,6712.56,2237.52,6.37,24,4,57.14,-1355.66,-338.92,-3.01,7,10
11 (BVB),5275.15,1.06,0.32,0.1,30.39,-11776.91,-3.64,-11776.91,-2.28,0.45,0.04,13.34, N/A, N/A,450.28,0.02,0.06,-88.4, N/A,0.0009,1,5275.15,1.72,15,1,100,5275.15,5275.15,1.72,15,0,0,0,  N/A,  N/A,  N/A,10
10 (ORS),5299.3,1.06,1.51,0.1,6.5,-77913.71,-33.47,-90569.92,-15.33,0.06,0.01,0.42,1.05,2.11,19034.11,0.26,12.21,-0.43,0.64,0.0155,27,196.27,6.54,21.44,9,33.33,104374.57,11597.17,33.57,38.11,18,66.67,-99075.27,-5504.18,-6.97,13.11,9
11 (CSV),4832.34,0.97,3.1,0.09,2.89,-53509.7,-19.3,-128488.75,-21.85,0.04,0,0.13,1.08,1.45,8655.51,-0.07,9.6,-0.55,-0.16,-0.0039,14,345.17,-0.07,32.43,6,42.86,61765.97,10294.33,9.53,39.17,8,57.14,-56933.63,-7116.7,-7.26,27.38,10
6 (GEG),4802.65,0.96,4.74,0.09,1.88,-45445.87,-11.29,-120666.07,-19.29,0.04,0,0.1,1.04,3.13,20763.83,0.23,2.98,-1.78,0.95,0.0139,12,400.22,4.15,17.42,3,25,115638.91,38546.3,23.51,37.67,9,75,-110836.27,-12315.14,-2.3,10.67,5
4 (QNS),4645.39,0.93,8,0.09,1.08,-54995.18,-13.58,-102141.61,-19.33,0.05,0,0.06,1.06,2.76,12164.22,-0.21,5.33,-1,0.24,-0.0128,18,258.08,0.71,18.22,5,27.78,81283.42,16256.68,6.97,33.8,13,72.22,-76638.04,-5895.23,-1.7,12.23,3
2 (CSV),4581.19,0.92,3.61,0.08,2.35,-38835.14,-12.54,-89791.77,-15.85,0.05,0.01,0.15,1.08,2.8,9025.92,0.28,5.16,-1.03,0.1,0.0166,18,254.51,0.65,20.11,5,27.78,63672.35,12734.47,12.24,39.6,13,72.22,-59091.17,-4545.47,-3.8,12.62,1
6 (FTM),4530.22,0.91,10.33,0.08,0.81,-112477.41,-21.37,-147373.99,-27.92,0.03,0,0.03,1.02,4.35,31621.98,-0.06,8.22,-0.65,-0.56,-0.0039,21,215.72,-1.27,16.48,4,19.05,188006.22,47001.55,12.37,33,17,80.95,-183476,-10792.71,-4.48,12.59,5
7 (KHP),4523.3,0.9,0.65,0.08,12.92,-13875.93,-15.66,-13875.93,-2.68,0.33,0.03,4.81,1.49,1.49,2947.86,0.38,1.92,-2.77,0.69,0.023,24,188.47,3.13,25.08,12,50,13845.72,1153.81,10.17,37.58,12,50,-9322.42,-776.87,-3.9,12.58,6
7 (TDM),4397.15,0.88,1.92,0.08,4.25,-62063.6,-27.17,-86113.87,-15.78,0.05,0.01,0.27,1.15,1.53,7099.15,0.15,1.9,-2.8,0.46,0.0088,7,628.16,1.27,23.43,3,42.86,34296.85,11432.28,7.09,46.33,4,57.14,-29899.7,-7474.92,-3.1,6.25,6
9 (FTS),4409.98,0.88,0.28,0.08,29,-5602.81,-12.5,-5602.81,-1.1,0.79,0.07,26.4,4.68,3.9,863.22,0.12,0.15,-34.68,0.89,0.0072,11,400.91,3.14,16.27,6,54.55,5608.06,934.68,8.11,20.33,5,45.45,-1198.07,-239.61,-2.83,11.4,8
